ALLSKY_SFC_LW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_TOA_SW_DWN,CDD0,CDD10,CLRSKY_SFC_SW_DWN,HDD18_3,T2M,Date,site_id
9.17,5.98,10.66,19.32,9.32,-999.0,0.0,18.3,2017-08-06,4
8.96,6.3,10.62,18.31,8.31,7.69,0.0,17.46,2017-08-07,4
9.01,5.4,10.58,18.57,8.57,-999.0,0.0,17.61,2017-08-08,4
9.25,4.12,10.54,18.17,8.17,-999.0,0.13,17.41,2017-08-09,4
9.13,5.25,10.5,18.73,8.73,7.69,0.0,17.63,2017-08-10,4
9.03,5.37,10.46,18.61,8.61,-999.0,0.0,17.73,2017-08-11,4
8.71,5.07,10.41,17.54,7.54,7.68,0.76,16.99,2017-08-12,4
8.96,5.44,10.37,17.63,7.63,-999.0,0.67,17.03,2017-08-13,4
8.86,3.67,10.32,15.84,5.84,-999.0,2.46,15.48,2017-08-14,4
8.95,4.85,10.28,16.58,6.58,-999.0,1.72,15.8,2017-08-15,4
8.89,6.2,10.23,18.28,8.28,7.43,0.02,17.39,2017-08-16,4
8.85,6.67,10.18,19.69,9.69,-999.0,0.0,18.73,2017-08-17,4
9.22,5.34,10.14,19.61,9.61,7.35,0.0,18.44,2017-08-18,4
9.17,4.92,10.09,19.08,9.08,7.39,0.0,17.99,2017-08-19,4
9.16,5.66,10.04,18.69,8.69,-999.0,0.0,17.81,2017-08-20,4
9.13,4.38,9.99,19.33,9.33,7.16,0.0,18.25,2017-08-21,4
8.98,6.29,9.93,18.7,8.7,-999.0,0.0,18.23,2017-08-22,4
8.88,4.3,9.88,19.11,9.11,7.25,0.0,18.03,2017-08-23,4
8.5,5.49,9.83,17.55,7.55,-999.0,0.75,17.03,2017-08-24,4
8.21,5.07,9.77,18.6,8.6,7.4,0.0,17.79,2017-08-25,4
8.36,6.38,9.72,21.87,11.87,7.21,0.0,21.02,2017-08-26,4
9.08,5.6,9.66,24.08,14.08,-999.0,0.0,22.81,2017-08-27,4
9.15,4.95,9.61,23.3,13.3,7.08,0.0,21.68,2017-08-28,4
9.08,5.04,9.56,19.2,9.2,-999.0,0.0,18.2,2017-08-29,4
8.18,6.08,9.52,18.68,8.68,7.16,0.0,17.72,2017-08-30,4
7.99,6.69,9.47,23.69,13.69,7.1,0.0,22.64,2017-08-31,4
8.68,6.7,9.42,28.95,18.95,6.81,0.0,27.41,2017-09-01,4
8.8,6.64,9.37,30.89,20.89,-999.0,0.0,28.52,2017-09-02,4
9.3,5.18,9.32,26.15,16.15,-999.0,0.0,24.33,2017-09-03,4
9.64,2.3,9.27,22.63,12.63,-999.0,0.0,22.1,2017-09-04,4
9.21,5.82,9.21,23.85,13.85,-999.0,0.0,22.76,2017-09-05,4
9.2,4.71,9.16,21.7,11.7,-999.0,0.0,20.57,2017-09-06,4
9.44,3.32,9.11,19.5,9.5,-999.0,0.0,19.15,2017-09-07,4
9.04,3.75,9.05,19.98,9.98,-999.0,0.0,18.97,2017-09-08,4
8.85,4.47,9.0,21.13,11.13,-999.0,0.0,20.23,2017-09-09,4
8.68,6.25,8.94,24.87,14.87,6.36,0.0,23.65,2017-09-10,4
8.99,5.78,8.89,24.05,14.05,-999.0,0.0,23.1,2017-09-11,4
9.17,4.87,8.83,22.72,12.72,-999.0,0.0,21.53,2017-09-12,4
9.4,3.01,8.77,19.31,9.31,-999.0,0.0,18.71,2017-09-13,4
8.44,5.83,8.72,17.67,7.67,-999.0,0.63,17.03,2017-09-14,4
7.4,6.17,8.66,18.13,8.13,6.35,0.17,17.23,2017-09-15,4
8.38,4.65,8.6,18.01,8.01,-999.0,0.29,17.4,2017-09-16,4
7.89,6.07,8.54,17.78,7.78,6.22,0.52,17.01,2017-09-17,4
8.57,4.51,8.48,18.69,8.69,-999.0,0.0,17.84,2017-09-18,4
7.72,5.96,8.42,18.03,8.03,5.99,0.27,17.5,2017-09-19,4
8.37,4.04,8.36,17.84,7.84,-999.0,0.46,17.0,2017-09-20,4
7.14,5.91,8.3,16.06,6.06,6.01,2.24,15.39,2017-09-21,4
7.26,5.79,8.23,16.45,6.45,5.9,1.85,15.63,2017-09-22,4
7.18,5.9,8.17,17.63,7.63,5.92,0.67,16.98,2017-09-23,4
7.35,5.77,8.11,19.07,9.07,5.86,0.0,18.27,2017-09-24,4
7.94,5.64,8.05,20.5,10.5,5.72,0.0,19.43,2017-09-25,4
7.76,5.69,7.98,22.9,12.9,5.71,0.0,21.8,2017-09-26,4
7.61,5.66,7.92,23.65,13.65,5.69,0.0,22.22,2017-09-27,4
8.44,4.9,7.85,21.57,11.57,-999.0,0.0,20.53,2017-09-28,4
8.78,3.93,7.79,17.75,7.75,-999.0,0.55,16.98,2017-09-29,4
7.51,5.44,7.72,18.82,8.82,-999.0,0.0,17.54,2017-09-30,4
7.29,5.4,7.66,18.73,8.73,-999.0,0.0,17.6,2017-10-01,4
6.81,5.5,7.59,17.3,7.3,5.55,1.0,16.67,2017-10-02,4
6.79,5.38,7.52,16.32,6.32,5.45,1.98,15.18,2017-10-03,4
7.12,5.16,7.46,17.82,7.82,5.4,0.48,16.47,2017-10-04,4
7.49,4.97,7.39,18.3,8.3,-999.0,0.0,17.03,2017-10-05,4
6.88,5.38,7.32,20.41,10.41,5.38,0.0,18.64,2017-10-06,4
7.2,5.2,7.26,19.79,9.79,5.25,0.0,17.93,2017-10-07,4
6.92,5.25,7.19,18.04,8.04,5.26,0.26,17.55,2017-10-08,4
6.99,4.98,7.12,18.65,8.65,5.18,0.0,17.84,2017-10-09,4
7.71,4.03,7.05,17.82,7.82,5.03,0.48,16.87,2017-10-10,4
7.07,4.47,6.99,15.67,5.67,-999.0,2.63,14.35,2017-10-11,4
6.36,4.86,6.92,15.14,5.14,5.16,3.16,14.23,2017-10-12,4
6.75,4.82,6.85,16.19,6.19,4.99,2.11,14.8,2017-10-13,4
6.63,4.91,6.78,16.95,6.95,5.03,1.35,16.38,2017-10-14,4
6.96,4.83,6.71,19.45,9.45,4.89,0.0,18.41,2017-10-15,4
7.17,4.45,6.65,20.22,10.22,-999.0,0.0,18.89,2017-10-16,4
7.73,2.93,6.58,19.1,9.1,-999.0,0.0,17.61,2017-10-17,4
8.08,3.19,6.51,15.77,5.77,-999.0,2.53,14.18,2017-10-18,4
8.58,2.59,6.46,13.98,3.98,-999.0,4.32,13.64,2017-10-19,4
7.42,3.67,6.4,13.39,3.39,-999.0,4.91,12.96,2017-10-20,4
7.4,4.36,6.34,14.2,4.2,4.38,4.1,13.42,2017-10-21,4
7.16,4.42,6.29,16.38,6.38,4.49,1.92,15.38,2017-10-22,4
7.7,4.26,6.23,20.31,10.31,4.36,0.0,19.48,2017-10-23,4
7.57,4.33,6.17,22.27,12.27,4.38,0.0,21.61,2017-10-24,4
7.44,4.28,6.12,22.35,12.35,4.34,0.0,21.18,2017-10-25,4
7.5,4.25,6.06,22.35,12.35,4.3,0.0,21.18,2017-10-26,4
8.46,3.35,6.01,21.59,11.59,4.27,0.0,19.76,2017-10-27,4
8.59,2.75,5.95,18.88,8.88,-999.0,0.0,16.62,2017-10-28,4
8.79,1.95,5.9,14.89,4.89,-999.0,3.41,13.7,2017-10-29,4
8.23,3.29,5.84,13.47,3.47,-999.0,4.83,12.75,2017-10-30,4
7.52,3.91,5.79,15.11,5.11,4.01,3.19,13.93,2017-10-31,4
7.31,3.84,5.73,14.94,4.94,3.96,3.36,13.82,2017-11-01,4
7.71,3.49,5.68,14.82,4.82,3.86,3.48,14.14,2017-11-02,4
8.71,1.61,5.63,14.94,4.94,-999.0,3.36,14.18,2017-11-03,4
7.88,2.66,5.58,12.28,2.28,-999.0,6.02,12.47,2017-11-04,4
6.89,3.76,5.52,11.34,1.34,3.86,6.96,10.69,2017-11-05,4
6.96,3.67,5.47,12.99,2.99,3.78,5.31,11.92,2017-11-06,4
6.79,3.77,5.42,11.92,1.92,3.81,6.38,11.88,2017-11-07,4
8.54,0.99,5.37,13.63,3.63,-999.0,4.67,13.64,2017-11-08,4
7.98,2.88,5.32,15.35,5.35,-999.0,2.95,14.73,2017-11-09,4
7.91,2.48,5.27,14.5,4.5,-999.0,3.8,13.98,2017-11-10,4
7.32,3.22,5.22,14.13,4.13,-999.0,4.17,12.99,2017-11-11,4
7.54,3.35,5.18,13.8,3.8,3.49,4.5,13.15,2017-11-12,4
8.38,2.38,5.13,15.18,5.18,-999.0,3.12,14.32,2017-11-13,4
7.17,3.39,5.08,13.91,3.91,-999.0,4.39,13.25,2017-11-14,4
8.66,1.71,5.04,14.4,4.4,-999.0,3.9,13.93,2017-11-15,4
8.51,0.58,5.0,13.1,3.1,-999.0,5.2,13.2,2017-11-16,4
6.51,3.41,4.95,11.92,1.92,3.43,6.38,11.37,2017-11-17,4
6.3,3.38,4.91,11.07,1.07,3.41,7.23,10.73,2017-11-18,4
7.54,2.84,4.87,11.64,1.64,-999.0,6.66,11.63,2017-11-19,4
8.6,1.24,4.83,15.1,5.1,-999.0,3.2,14.28,2017-11-20,4
8.03,2.79,4.79,15.48,5.48,-999.0,2.82,14.24,2017-11-21,4
8.12,2.08,4.75,16.01,6.01,-999.0,2.29,15.08,2017-11-22,4
8.5,1.14,4.71,17.04,7.04,-999.0,1.26,16.2,2017-11-23,4
8.0,2.31,4.68,16.4,6.4,-999.0,1.9,15.08,2017-11-24,4
7.97,2.07,4.64,15.84,5.84,-999.0,2.46,15.2,2017-11-25,4
8.39,0.7,4.61,14.69,4.69,-999.0,3.61,14.52,2017-11-26,4
7.14,2.96,4.57,12.05,2.05,3.03,6.25,11.59,2017-11-27,4
7.32,2.79,4.54,11.82,1.82,-999.0,6.48,10.98,2017-11-28,4
6.59,2.99,4.51,11.27,1.27,3.04,7.03,10.75,2017-11-29,4
6.91,2.89,4.48,11.71,1.71,-999.0,6.59,11.12,2017-11-30,4
7.53,2.37,4.45,12.2,2.2,-999.0,6.1,11.59,2017-12-01,4
7.43,2.43,4.43,10.77,0.77,-999.0,7.53,10.73,2017-12-02,4
6.43,2.91,4.4,10.7,0.7,2.94,7.6,10.15,2017-12-03,4
5.93,3.0,4.38,10.34,0.34,3.03,7.96,9.29,2017-12-04,4
6.25,2.95,4.35,10.57,0.57,3.0,7.73,10.22,2017-12-05,4
6.31,2.94,4.33,10.17,0.17,2.94,8.13,9.33,2017-12-06,4
6.17,2.86,4.31,11.72,1.72,-999.0,6.58,10.39,2017-12-07,4
6.9,2.45,4.29,11.34,1.34,-999.0,6.96,10.27,2017-12-08,4
6.53,2.75,4.27,10.87,0.87,-999.0,7.43,9.63,2017-12-09,4
6.31,2.87,4.26,10.96,0.96,2.92,7.34,9.52,2017-12-10,4
6.35,2.71,4.24,10.75,0.75,2.92,7.55,9.74,2017-12-11,4
6.03,2.92,4.23,10.14,0.14,2.94,8.16,9.91,2017-12-12,4
6.5,2.79,4.21,9.5,0.0,2.89,8.8,9.32,2017-12-13,4
6.85,2.76,4.2,11.66,1.66,2.83,6.64,10.16,2017-12-14,4
7.18,2.19,4.19,8.85,0.0,-999.0,9.45,9.22,2017-12-15,4
6.6,2.74,4.19,11.79,1.79,2.79,6.51,10.85,2017-12-16,4
6.8,2.75,4.18,10.63,0.63,2.77,7.67,10.56,2017-12-17,4
6.66,2.7,4.18,10.58,0.58,2.75,7.72,10.26,2017-12-18,4
7.65,1.77,4.17,10.7,0.7,-999.0,7.6,10.16,2017-12-19,4
6.48,2.75,4.17,8.58,0.0,2.78,9.72,8.34,2017-12-20,4
6.14,2.82,4.17,7.89,0.0,2.87,10.41,7.53,2017-12-21,4
6.81,2.55,4.17,8.29,0.0,-999.0,10.01,7.1,2017-12-22,4
7.56,1.99,4.17,8.32,0.0,-999.0,9.98,7.47,2017-12-23,4
8.26,1.11,4.18,8.79,0.0,-999.0,9.51,8.42,2017-12-24,4
7.78,1.5,4.18,10.02,0.02,-999.0,8.28,9.8,2017-12-25,4
7.13,2.45,4.19,12.0,2.0,2.75,6.3,10.65,2017-12-26,4
7.14,2.49,4.2,11.1,1.1,-999.0,7.2,10.08,2017-12-27,4
7.06,2.55,4.21,11.37,1.37,-999.0,6.93,10.28,2017-12-28,4
6.71,2.68,4.22,10.52,0.52,-999.0,7.78,9.73,2017-12-29,4
7.23,2.4,4.23,11.07,1.07,-999.0,7.23,10.15,2017-12-30,4
7.95,1.48,4.25,10.85,0.85,-999.0,7.45,10.34,2017-12-31,4
7.58,2.54,4.26,12.64,2.64,-999.0,5.66,11.8,2018-01-01,4
8.27,1.01,4.28,12.49,2.49,-999.0,5.81,11.49,2018-01-02,4
8.67,0.47,4.3,10.51,0.51,-999.0,7.79,10.61,2018-01-03,4
8.58,1.58,4.32,14.29,4.29,-999.0,4.01,13.44,2018-01-04,4
8.47,1.1,4.34,12.83,2.83,-999.0,5.47,13.08,2018-01-05,4
7.32,2.62,4.36,11.55,1.55,-999.0,6.75,10.79,2018-01-06,4
7.87,0.74,4.39,9.76,0.0,-999.0,8.54,9.21,2018-01-07,4
8.57,0.35,4.41,11.49,1.49,-999.0,6.81,11.65,2018-01-08,4
8.27,1.4,4.44,11.56,1.56,-999.0,6.74,12.24,2018-01-09,4
8.08,1.49,4.47,10.76,0.76,-999.0,7.54,10.62,2018-01-10,4
7.85,1.93,4.5,12.38,2.38,-999.0,5.92,11.76,2018-01-11,4
7.15,2.74,4.53,12.09,2.09,-999.0,6.21,10.92,2018-01-12,4
7.07,2.91,4.56,11.06,1.06,-999.0,7.24,9.89,2018-01-13,4
7.43,1.81,4.59,11.55,1.55,-999.0,6.75,10.43,2018-01-14,4
7.91,1.85,4.63,11.7,1.7,-999.0,6.6,11.43,2018-01-15,4
8.28,1.37,4.66,13.17,3.17,-999.0,5.13,12.65,2018-01-16,4
8.15,2.28,4.7,12.96,2.96,-999.0,5.34,12.08,2018-01-17,4
8.1,1.28,4.74,11.59,1.59,-999.0,6.71,11.46,2018-01-18,4
6.69,2.68,4.77,9.11,0.0,-999.0,9.19,8.87,2018-01-19,4
6.35,3.18,4.81,8.49,0.0,3.24,9.81,7.87,2018-01-20,4
7.43,2.28,4.86,9.4,0.0,-999.0,8.9,9.29,2018-01-21,4
7.6,2.78,4.9,10.42,0.42,-999.0,7.88,10.83,2018-01-22,4
6.64,3.33,4.94,10.13,0.13,3.37,8.17,9.57,2018-01-23,4
7.52,1.15,4.99,10.07,0.07,-999.0,8.23,9.46,2018-01-24,4
6.82,2.9,5.03,9.61,0.0,-999.0,8.69,8.93,2018-01-25,4
6.77,3.35,5.08,9.29,0.0,-999.0,9.01,8.54,2018-01-26,4
7.18,3.34,5.12,10.71,0.71,-999.0,7.59,9.68,2018-01-27,4
7.12,3.56,5.17,11.55,1.55,3.58,6.75,10.32,2018-01-28,4
7.63,2.12,5.22,11.66,1.66,-999.0,6.64,10.76,2018-01-29,4
6.91,3.6,5.27,13.18,3.18,3.64,5.12,12.07,2018-01-30,4
7.3,3.61,5.32,12.83,2.83,-999.0,5.47,12.02,2018-01-31,4
7.5,3.56,5.37,14.5,4.5,-999.0,3.8,13.65,2018-02-01,4
7.23,3.45,5.42,15.06,5.06,-999.0,3.24,14.04,2018-02-02,4
6.98,3.72,5.47,15.2,5.2,3.77,3.1,14.85,2018-02-03,4
7.14,3.69,5.53,14.9,4.9,3.78,3.4,14.54,2018-02-04,4
7.22,3.73,5.58,16.12,6.12,3.79,2.18,15.06,2018-02-05,4
6.71,3.96,5.63,14.69,4.69,3.98,3.61,13.95,2018-02-06,4
7.05,3.88,5.69,14.84,4.84,3.92,3.46,14.18,2018-02-07,4
-999.0,-999.0,-999.0,15.89,5.89,-999.0,2.41,15.04,2018-02-08,4
7.08,3.99,5.8,15.91,5.91,4.04,2.39,14.85,2018-02-09,4
6.92,3.75,5.85,12.65,2.65,4.11,5.65,12.13,2018-02-10,4
6.89,2.04,5.91,10.06,0.06,-999.0,8.24,9.36,2018-02-11,4
6.37,4.17,5.97,9.51,0.0,4.23,8.79,8.89,2018-02-12,4
6.27,4.29,6.02,10.1,0.1,4.3,8.2,9.74,2018-02-13,4
6.78,3.56,6.08,11.29,1.29,-999.0,7.01,10.27,2018-02-14,4
6.03,4.49,6.14,10.04,0.04,4.51,8.26,9.36,2018-02-15,4
6.6,4.41,6.2,11.87,1.87,4.45,6.43,11.08,2018-02-16,4
6.85,4.43,6.26,13.79,3.79,4.44,4.51,12.18,2018-02-17,4
6.87,4.28,6.32,8.94,0.0,-999.0,9.36,9.05,2018-02-18,4
6.02,4.5,6.37,6.58,0.0,-999.0,11.72,6.12,2018-02-19,4
6.2,4.61,6.43,6.15,0.0,4.65,12.15,5.81,2018-02-20,4
6.54,4.57,6.49,8.3,0.0,-999.0,10.0,7.45,2018-02-21,4
6.55,3.85,6.55,7.24,0.0,-999.0,11.06,6.89,2018-02-22,4
5.88,4.85,6.61,6.14,0.0,4.9,12.16,5.75,2018-02-23,4
6.61,4.14,6.68,7.04,0.0,4.76,11.26,7.05,2018-02-24,4
6.57,4.86,6.75,8.28,0.0,4.92,10.02,7.95,2018-02-25,4
7.04,4.58,6.82,8.35,0.0,-999.0,9.95,8.46,2018-02-26,4
6.2,5.09,6.89,7.92,0.0,5.1,10.38,7.29,2018-02-27,4
7.52,2.81,6.96,8.01,0.0,-999.0,10.29,8.41,2018-02-28,4
7.91,2.91,7.03,10.18,0.18,-999.0,8.12,10.45,2018-03-01,4
7.22,3.11,7.1,7.82,0.0,-999.0,10.48,7.77,2018-03-02,4
6.8,3.3,7.17,6.56,0.0,-999.0,11.74,6.7,2018-03-03,4
6.23,5.14,7.24,8.19,0.0,5.28,10.11,7.55,2018-03-04,4
6.09,5.34,7.31,8.32,0.0,5.37,9.98,8.06,2018-03-05,4
6.81,5.28,7.38,11.63,1.63,5.36,6.67,11.21,2018-03-06,4
7.49,5.18,7.45,13.81,3.81,5.32,4.49,12.88,2018-03-07,4
7.69,4.29,7.52,13.53,3.53,-999.0,4.77,12.67,2018-03-08,4
7.76,3.77,7.59,12.36,2.36,-999.0,5.94,11.76,2018-03-09,4
7.97,0.96,7.66,11.58,1.58,-999.0,6.72,11.28,2018-03-10,4
7.61,5.03,7.73,13.41,3.41,-999.0,4.89,13.01,2018-03-11,4
8.48,3.18,7.8,14.96,4.96,-999.0,3.34,14.66,2018-03-12,4
8.06,3.46,7.87,12.25,2.25,-999.0,6.05,12.7,2018-03-13,4
6.88,5.16,7.93,8.62,0.0,-999.0,9.68,9.22,2018-03-14,4
7.1,3.99,8.0,8.45,0.0,-999.0,9.85,8.98,2018-03-15,4
7.17,5.04,8.07,8.8,0.0,-999.0,9.5,8.84,2018-03-16,4
6.92,4.28,8.13,8.64,0.0,-999.0,9.66,8.3,2018-03-17,4
7.02,2.84,8.2,9.74,0.0,-999.0,8.56,9.37,2018-03-18,4
7.17,4.95,8.26,11.03,1.03,-999.0,7.27,10.99,2018-03-19,4
8.09,0.99,8.33,10.82,0.82,-999.0,7.48,10.88,2018-03-20,4
8.3,2.45,8.39,12.99,2.99,-999.0,5.31,13.37,2018-03-21,4
7.46,5.19,8.46,9.65,0.0,-999.0,8.65,11.13,2018-03-22,4
6.75,6.04,8.52,9.46,0.0,-999.0,8.84,9.33,2018-03-23,4
6.84,5.76,8.58,9.17,0.0,-999.0,9.13,9.0,2018-03-24,4
6.46,6.22,8.65,8.92,0.0,-999.0,9.38,8.61,2018-03-25,4
6.49,6.38,8.71,10.14,0.14,6.43,8.16,10.1,2018-03-26,4
6.95,6.35,8.77,13.47,3.47,6.41,4.83,12.95,2018-03-27,4
7.08,6.43,8.83,15.9,5.9,6.46,2.4,14.92,2018-03-28,4
6.97,6.55,8.89,17.79,7.79,6.6,0.51,16.57,2018-03-29,4
7.25,6.03,8.95,17.34,7.34,-999.0,0.96,16.39,2018-03-30,4
7.65,4.97,9.0,14.79,4.79,-999.0,3.51,13.87,2018-03-31,4
6.96,6.61,9.06,13.68,3.68,6.69,4.62,12.85,2018-04-01,4
7.14,6.43,9.12,13.62,3.62,6.59,4.68,12.77,2018-04-02,4
7.13,6.63,9.17,12.81,2.81,-999.0,5.49,12.09,2018-04-03,4
7.72,5.63,9.23,12.75,2.75,-999.0,5.55,12.23,2018-04-04,4
8.41,2.72,9.28,12.6,2.6,-999.0,5.7,12.07,2018-04-05,4
9.13,1.73,9.34,13.67,3.67,-999.0,4.63,13.88,2018-04-06,4
7.55,6.31,9.39,12.86,2.86,6.94,5.44,13.48,2018-04-07,4
6.69,6.95,9.44,12.6,2.6,7.02,5.7,12.06,2018-04-08,4
7.4,6.46,9.49,15.92,5.92,7.03,2.38,15.16,2018-04-09,4
7.66,2.79,9.55,12.05,2.05,-999.0,6.25,12.88,2018-04-10,4
7.04,5.39,9.6,10.62,0.62,-999.0,7.68,10.77,2018-04-11,4
6.65,6.9,9.64,9.94,0.0,7.21,8.36,9.79,2018-04-12,4
6.81,7.04,9.69,11.97,1.97,7.18,6.33,11.78,2018-04-13,4
7.35,7.19,9.74,14.09,4.09,7.22,4.21,13.7,2018-04-14,4
7.42,5.38,9.79,11.96,1.96,7.21,6.34,11.65,2018-04-15,4
6.94,5.2,9.85,8.25,0.0,-999.0,10.05,8.83,2018-04-16,4
6.42,7.36,9.9,10.63,0.63,7.47,7.67,10.25,2018-04-17,4
7.48,3.78,9.96,10.42,0.42,-999.0,7.88,10.08,2018-04-18,4
6.75,7.31,10.01,11.5,1.5,7.49,6.8,11.38,2018-04-19,4
7.2,6.85,10.07,13.97,3.97,7.46,4.33,13.11,2018-04-20,4
7.07,7.43,10.12,15.24,5.24,7.47,3.06,14.34,2018-04-21,4
6.97,7.36,10.17,15.64,5.64,-999.0,2.66,15.07,2018-04-22,4
7.55,7.13,10.22,17.25,7.25,7.57,1.05,15.85,2018-04-23,4
8.01,6.13,10.27,13.68,3.68,-999.0,4.62,12.8,2018-04-24,4
8.02,6.39,10.32,12.44,2.44,7.64,5.86,11.77,2018-04-25,4
8.04,6.86,10.36,11.41,1.41,-999.0,6.89,10.98,2018-04-26,4
7.12,7.24,10.41,13.44,3.44,-999.0,4.86,12.94,2018-04-27,4
7.88,4.97,10.45,12.83,2.83,-999.0,5.47,12.42,2018-04-28,4
7.72,5.97,10.5,12.65,2.65,-999.0,5.65,12.33,2018-04-29,4
7.21,7.0,10.54,11.92,1.92,-999.0,6.38,11.82,2018-04-30,4
7.31,7.65,10.58,13.19,3.19,7.76,5.11,12.4,2018-05-01,4
7.96,5.83,10.63,14.16,4.16,7.79,4.14,13.12,2018-05-02,4
8.17,5.81,10.67,13.13,3.13,7.85,5.17,12.36,2018-05-03,4
7.98,6.96,10.71,15.3,5.3,-999.0,3.0,14.38,2018-05-04,4
7.78,4.25,10.74,13.57,3.57,-999.0,4.73,12.53,2018-05-05,4
7.66,6.98,10.78,13.32,3.32,-999.0,4.98,12.69,2018-05-06,4
7.22,7.96,10.82,15.49,5.49,8.04,2.81,14.84,2018-05-07,4
8.14,6.88,10.85,14.64,4.64,7.85,3.66,13.94,2018-05-08,4
7.27,7.88,10.89,14.75,4.75,8.06,3.55,14.16,2018-05-09,4
7.61,7.8,10.92,14.58,4.58,-999.0,3.72,13.89,2018-05-10,4
7.09,8.04,10.95,15.86,5.86,8.19,2.44,15.96,2018-05-11,4
7.77,6.84,10.99,16.96,6.96,-999.0,1.34,16.53,2018-05-12,4
8.28,5.06,11.02,14.61,4.61,-999.0,3.69,13.79,2018-05-13,4
8.57,5.9,11.05,13.66,3.66,-999.0,4.64,12.84,2018-05-14,4
7.86,7.05,11.08,13.9,3.9,-999.0,4.4,13.2,2018-05-15,4
7.33,7.09,11.11,13.75,3.75,8.19,4.55,13.35,2018-05-16,4
8.28,6.42,11.13,14.16,4.16,8.06,4.14,13.68,2018-05-17,4
8.66,4.59,11.16,14.29,4.29,-999.0,4.01,13.55,2018-05-18,4
8.56,5.33,11.19,13.49,3.49,-999.0,4.81,12.76,2018-05-19,4
8.47,6.16,11.21,13.33,3.33,-999.0,4.97,12.2,2018-05-20,4
8.36,6.14,11.24,15.09,5.09,-999.0,3.21,13.87,2018-05-21,4
8.47,3.92,11.26,13.66,3.66,-999.0,4.64,12.89,2018-05-22,4
8.53,5.89,11.28,13.27,3.27,-999.0,5.03,12.84,2018-05-23,4
8.7,4.22,11.3,13.49,3.49,-999.0,4.81,12.63,2018-05-24,4
8.51,4.46,11.32,13.63,3.63,-999.0,4.67,13.26,2018-05-25,4
8.26,6.31,11.34,14.92,4.92,-999.0,3.38,14.12,2018-05-26,4
7.75,7.75,11.36,16.8,6.8,8.33,1.5,16.58,2018-05-27,4
7.8,8.31,11.38,19.41,9.41,8.34,0.0,18.93,2018-05-28,4
7.61,8.28,11.4,18.14,8.14,8.43,0.16,17.24,2018-05-29,4
7.7,7.64,11.41,13.7,3.7,8.51,4.6,12.78,2018-05-30,4
7.44,7.69,11.43,13.54,3.54,8.51,4.76,13.14,2018-05-31,4
7.28,8.48,11.44,16.62,6.62,8.53,1.68,16.01,2018-06-01,4
7.59,8.54,11.46,20.2,10.2,8.54,0.0,19.42,2018-06-02,4
7.9,7.76,11.47,19.3,9.3,-999.0,0.0,18.18,2018-06-03,4
7.25,8.47,11.48,15.59,5.59,8.63,2.71,15.24,2018-06-04,4
7.25,8.03,11.49,14.44,4.44,8.7,3.86,13.76,2018-06-05,4
7.77,7.58,11.5,14.16,4.16,8.57,4.14,13.61,2018-06-06,4
7.11,8.57,11.51,14.62,4.62,8.69,3.68,14.11,2018-06-07,4
8.11,7.21,11.52,16.58,6.58,8.5,1.72,16.0,2018-06-08,4
7.32,7.36,11.53,14.86,4.86,-999.0,3.44,14.55,2018-06-09,4
7.49,8.21,11.54,15.38,5.38,8.5,2.92,15.14,2018-06-10,4
8.01,7.39,11.54,18.06,8.06,8.52,0.24,17.58,2018-06-11,4
7.71,7.65,11.55,18.91,8.91,8.67,0.0,18.19,2018-06-12,4
7.58,7.97,11.55,18.45,8.45,8.71,0.0,17.22,2018-06-13,4
7.66,8.21,11.56,15.64,5.64,8.67,2.66,15.0,2018-06-14,4
8.56,5.99,11.56,14.64,4.64,-999.0,3.66,13.93,2018-06-15,4
8.21,6.21,11.56,16.31,6.31,8.7,1.99,15.0,2018-06-16,4
8.28,6.52,11.57,16.75,6.75,8.55,1.55,15.82,2018-06-17,4
8.75,6.13,11.57,17.0,7.0,8.53,1.3,16.4,2018-06-18,4
8.56,6.05,11.57,16.86,6.86,8.58,1.44,15.7,2018-06-19,4
8.42,6.39,11.57,15.42,5.42,-999.0,2.88,14.77,2018-06-20,4
7.77,8.11,11.57,16.43,6.43,8.78,1.87,15.94,2018-06-21,4
7.43,8.75,11.56,19.53,9.53,8.81,0.0,19.17,2018-06-22,4
7.72,8.44,11.56,22.35,12.35,8.71,0.0,21.68,2018-06-23,4
8.76,6.07,11.56,17.86,7.86,-999.0,0.44,17.53,2018-06-24,4
8.27,6.32,11.55,16.59,6.59,8.59,1.71,15.91,2018-06-25,4
7.39,7.96,11.55,16.02,6.02,8.79,2.28,15.55,2018-06-26,4
8.43,4.96,11.54,15.58,5.58,-999.0,2.72,14.85,2018-06-27,4
7.49,8.38,11.54,16.4,6.4,8.6,1.9,15.65,2018-06-28,4
7.62,8.55,11.53,18.58,8.58,8.6,0.0,18.12,2018-06-29,4
8.02,7.87,11.52,21.61,11.61,8.61,0.0,20.93,2018-06-30,4
8.58,6.58,11.51,18.63,8.63,-999.0,0.0,17.67,2018-07-01,4
8.6,5.85,11.5,17.77,7.77,8.58,0.53,16.73,2018-07-02,4
8.02,7.62,11.49,17.15,7.15,8.59,1.15,16.52,2018-07-03,4
8.15,7.17,11.48,16.49,6.49,8.6,1.81,15.98,2018-07-04,4
8.09,7.97,11.47,18.0,8.0,8.57,0.3,17.96,2018-07-05,4
